play_id,name,missing_or_unaudited_field
play-german-axe-and-mace-behind-the-shield,Behind the Shield,historical_identity.historical_confidence
play-german-axe-and-mace-behind-the-shield,Behind the Shield,historical_identity.source_citations.exact_historical_location
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.character_sheet_test_skill
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.secondary_skill_prerequisites
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.weapon_requirements
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.off_hand_requirement
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.timing.category
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.mechanics.learn_requirements
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.mechanics.use_conditions
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.mechanics.action_relationship
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.mechanics.spiritus_cost
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.mechanics.test_resolution
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.mechanics.defence
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.mechanics.success
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.mechanics.failure
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.mechanics.aftermath
play-german-axe-and-mace-behind-the-shield,Behind the Shield,game_implementation.mechanics.limits
play-german-axe-and-mace-cast-the-mace,Cast the Mace,historical_identity.historical_confidence
play-german-axe-and-mace-cast-the-mace,Cast the Mace,historical_identity.source_citations.exact_historical_location
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.character_sheet_test_skill
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.secondary_skill_prerequisites
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.weapon_requirements
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.off_hand_requirement
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.timing.category
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.mechanics.learn_requirements
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.mechanics.use_conditions
play-german-axe-and-mace-cast-the-mace,Cast the Mace,game_implementation.mechanics.action_relationship
