skill_a,skill_b,compound_cost,start_spiritus_a,start_spiritus_b,information,future_fights,recovery,parry,durch_cost,timing,seed,focal_win_rate,symmetry_deviation,average_rounds,double_defeat_rate,total_spiritus_per_fight,mean_end_spiritus_per_combatant,basic_parry_per_fight,counter_per_fight,ignore_per_fight,compound_declarations_per_fight,compound_spiritus_per_fight,compound_damage_per_fight,compound_damage_share,compound_defensive_opportunity_rate,compound_fights_with_1_plus_rate,compound_fights_with_2_plus_rate,compound_fights_with_3_plus_rate
10,10,1,8,8,adaptive_revelation,0,R0,P1,1,pre,8212026,0.49091666666666667,0.006416666666666667,4.058583333333333,0.024583333333333332,1.418,7.291,0.434,0.386,0.01675,1.0718333333333334,1.0718333333333334,2.1964166666666665,0.16278394703361043,0.5332504145936982,0.7168333333333333,0.2881666666666667,0.05991666666666667
10,10,1,8,8,perfect_information,0,R0,P1,1,pre,8213035,0.48891666666666667,0.006083333333333333,4.075583333333333,0.02825,1.2413333333333334,7.379333333333333,0.5111666666666667,0.4681666666666667,0.019166666666666665,0.9691666666666666,0.9691666666666666,2.01075,0.1480125138019875,0.47897533050533336,0.67275,0.24408333333333335,0.04658333333333333
10,10,2,8,8,adaptive_revelation,0,R0,P1,1,pre,8214044,0.4886666666666667,0.0055,4.120333333333333,0.028166666666666666,2.0295,6.98525,0.5284166666666666,0.48241666666666666,0.018916666666666665,0.8590833333333333,1.7181666666666666,1.7695833333333333,0.1301172188555077,0.4172501720160278,0.6261666666666666,0.19791666666666666,0.03216666666666667
10,10,2,8,8,perfect_information,0,R0,P1,1,pre,8215053,0.47758333333333336,0.011416666666666667,4.109333333333334,0.033416666666666664,1.8603333333333334,7.069833333333333,0.5843333333333334,0.53375,0.019833333333333335,0.79875,1.5975,1.688,0.12370076335877862,0.39279567248586184,0.59525,0.17591666666666667,0.025583333333333333
10,10,1,3,3,adaptive_revelation,0,R0,P1,1,pre,8216062,0.4825,0.008666666666666666,4.077333333333334,0.026333333333333334,1.2288333333333334,2.3855833333333334,0.4701666666666667,0.43766666666666665,0.018916666666666665,0.96775,0.96775,1.9608333333333334,0.14517790926534918,0.47625492125984253,0.6853333333333333,0.24541666666666667,0.034833333333333334
10,10,1,3,3,perfect_information,0,R0,P1,1,pre,8217071,0.4895833333333333,0.011333333333333334,4.092416666666667,0.03216666666666667,1.0868333333333333,2.456583333333333,0.55225,0.48983333333333334,0.02225,0.88125,0.88125,1.8633333333333333,0.13662554457744455,0.43430941722452665,0.6370833333333333,0.21133333333333335,0.031166666666666665
10,10,2,3,3,adaptive_revelation,0,R0,P1,1,pre,8218080,0.48741666666666666,0.015166666666666667,4.228833333333333,0.04033333333333333,1.064,2.468,0.7003333333333334,0.6544166666666666,0.02475,0.4315833333333333,0.8631666666666666,0.88225,0.06390800434625135,0.20637577206614863,0.3953333333333333,0.03625,0.0
10,10,2,3,3,perfect_information,0,R0,P1,1,pre,8219089,0.47933333333333333,0.0045,4.23975,0.04583333333333333,1.0641666666666667,2.4679166666666665,0.7719166666666667,0.6830833333333334,0.0285,0.4405,0.881,0.9426666666666667,0.06803883121413706,0.2116940328394073,0.3993333333333333,0.041166666666666664,0.0
14,14,1,8,8,adaptive_revelation,0,R0,P1,1,pre,8220098,0.4831666666666667,0.011916666666666667,3.182,0.04558333333333333,2.044583333333333,6.977708333333333,0.39108333333333334,0.4374166666666667,0.005916666666666666,1.3195833333333333,1.3195833333333333,3.5035833333333333,0.2558340483275221,0.5930489494775476,0.8096666666666666,0.39158333333333334,0.10308333333333333
14,14,1,8,8,perfect_information,0,R0,P1,1,pre,8221107,0.44825,0.007083333333333333,2.9444166666666667,0.09641666666666666,1.4046666666666667,7.297666666666666,0.11475,0.7935833333333333,0.012666666666666666,1.1001666666666667,1.1001666666666667,3.1201666666666665,0.21740417946499596,0.5346887529869183,0.7243333333333334,0.3,0.0675
