skill,parry,durch_cost,compound_cost,start_spiritus,information,timing,recovery,future_fights,play,opportunities,affordable_opportunities,declarations,successes,damage,spiritus_spent,parry_displaced,counter_displaced,spiritus_at_declaration_sum,early_opportunities,early_declarations,late_opportunities,late_declarations,declaration_rate,success_rate,damage_per_fight,spiritus_per_fight,mean_spiritus_at_declaration,early_use_rate,late_use_rate
10,P0,0,0,8,adaptive_revelation,pre,R0,0,Absetzen,1623,1623,781,420,1924,0,325,456,6248,830,375,793,406,0.48120764017252005,0.5377720870678617,0.6413333333333333,0.0,8.0,0.45180722891566266,0.5119798234552333
10,P0,0,0,8,adaptive_revelation,pre,R0,0,Scambiar di Punta,1623,1623,777,398,1802,0,311,466,6216,830,411,793,366,0.4787430683918669,0.5122265122265123,0.6006666666666667,0.0,8.0,0.4951807228915663,0.46153846153846156
10,P0,0,0,8,adaptive_revelation,pre,R0,0,Schielhau,2285,2285,1946,998,3604,0,168,499,15568,1089,909,1196,1037,0.8516411378555798,0.512846865364851,1.2013333333333334,0.0,8.0,0.8347107438016529,0.867056856187291
10,P0,0,0,5,adaptive_revelation,pre,R0,0,Absetzen,1725,1725,803,375,1722,0,338,465,4015,923,414,802,389,0.46550724637681157,0.4669987546699875,0.574,0.0,5.0,0.4485373781148429,0.4850374064837905
10,P0,0,0,5,adaptive_revelation,pre,R0,0,Scambiar di Punta,1725,1725,837,400,1817,0,336,501,4185,923,452,802,385,0.4852173913043478,0.4778972520908005,0.6056666666666667,0.0,5.0,0.48970747562296857,0.4800498753117207
10,P0,0,0,5,adaptive_revelation,pre,R0,0,Schielhau,2299,2299,2017,998,3565,0,176,539,10085,1049,906,1250,1111,0.877337973031753,0.4947942488844819,1.1883333333333332,0.0,5.0,0.8636796949475691,0.8888
10,P0,0,0,3,adaptive_revelation,pre,R0,0,Absetzen,1685,1685,832,405,1794,0,338,494,2496,894,441,791,391,0.4937685459940653,0.48677884615384615,0.598,0.0,3.0,0.49328859060402686,0.4943109987357775
10,P0,0,0,3,adaptive_revelation,pre,R0,0,Scambiar di Punta,1685,1685,792,393,1774,0,349,443,2376,894,410,791,382,0.47002967359050446,0.4962121212121212,0.5913333333333334,0.0,3.0,0.45861297539149887,0.4829329962073325
10,P0,0,0,3,adaptive_revelation,pre,R0,0,Schielhau,2283,2283,1992,1013,3612,0,163,496,5976,1027,854,1256,1138,0.8725361366622865,0.5085341365461847,1.204,0.0,3.0,0.8315481986368062,0.9060509554140127
10,P0,0,0,1,adaptive_revelation,pre,R0,0,Absetzen,1673,1673,766,393,1739,0,324,442,766,864,394,809,372,0.45786013150029886,0.5130548302872062,0.5796666666666667,0.0,1.0,0.45601851851851855,0.45982694684796044
10,P0,0,0,1,adaptive_revelation,pre,R0,0,Scambiar di Punta,1673,1673,839,415,1784,0,332,507,839,864,426,809,413,0.5014943215780036,0.49463647199046484,0.5946666666666667,0.0,1.0,0.4930555555555556,0.5105067985166872
10,P0,0,0,1,adaptive_revelation,pre,R0,0,Schielhau,2267,2267,1976,987,3475,0,144,497,1976,1041,886,1226,1090,0.8716365240405822,0.49949392712550605,1.1583333333333334,0.0,1.0,0.851104707012488,0.8890701468189234
10,P0,0,1,8,adaptive_revelation,pre,R0,0,Absetzen,1740,1740,747,368,1665,747,287,460,5797,905,392,835,355,0.42931034482758623,0.4926372155287818,0.555,0.249,7.760374832663989,0.4331491712707182,0.4251497005988024
10,P0,0,1,8,adaptive_revelation,pre,R0,0,Scambiar di Punta,1740,1740,831,404,1745,831,343,488,6440,905,415,835,416,0.47758620689655173,0.4861612515042118,0.5816666666666667,0.277,7.749699157641396,0.4585635359116022,0.49820359281437127
10,P0,0,1,8,adaptive_revelation,pre,R0,0,Schielhau,2357,2357,1719,874,3092,1719,177,464,13474,1086,733,1271,986,0.7293169282986848,0.508435136707388,1.0306666666666666,0.573,7.838278068644561,0.6749539594843462,0.7757671125098348
10,P0,0,1,5,adaptive_revelation,pre,R0,0,Absetzen,1655,1655,709,332,1519,709,284,425,3402,860,361,795,348,0.4283987915407855,0.4682651622002821,0.5063333333333333,0.23633333333333334,4.7983074753173485,0.4197674418604651,0.4377358490566038
10,P0,0,1,5,adaptive_revelation,pre,R0,0,Scambiar di Punta,1655,1655,767,387,1759,767,329,438,3660,860,392,795,375,0.4634441087613293,0.5045632333767927,0.5863333333333334,0.25566666666666665,4.771838331160365,0.4558139534883721,0.4716981132075472
10,P0,0,1,5,adaptive_revelation,pre,R0,0,Schielhau,2255,2255,1540,790,2865,1540,137,429,7469,1121,725,1134,815,0.6829268292682927,0.512987012987013,0.955,0.5133333333333333,4.85,0.6467439785905441,0.718694885361552
10,P0,0,1,3,adaptive_revelation,pre,R0,0,Absetzen,1711,1711,734,363,1662,734,332,402,2054,870,365,841,369,0.4289888953828171,0.494550408719346,0.554,0.24466666666666667,2.7983651226158037,0.41954022988505746,0.43876337693222356
