label,skill,parry,durch_cost,compound_cost,start_spiritus,information,timing,recovery,future_fights,enter_fight_1,leave_fight_1,spend_fight_1,durch_fight_1,compound_fight_1,parry_fight_1,enter_fight_2,leave_fight_2,spend_fight_2,durch_fight_2,compound_fight_2,parry_fight_2,enter_fight_3,leave_fight_3,spend_fight_3,durch_fight_3,compound_fight_3,parry_fight_3,fight1_future_value_conservation_rate,starvation_events_per_sequence,all_three_wins_rate
D1_C1_R0,10,P1,1,1,8,adaptive_revelation,pre,R0,0,8.0,7.4368,1.1326,0.2242,0.9084,0.5054,7.4368,6.8298,1.2398,0.2656,0.9742,0.47,6.8298,6.1374,1.4024,0.334,1.0684,0.4208,0.0106,0.0,0.1146
D1_C1_R2,10,P1,1,1,8,adaptive_revelation,pre,R2,0,8.0,7.2912,1.4136,0.3536,1.06,0.442,7.9798,7.2738,1.4104,0.336,1.0744,0.425,7.9742,7.251,1.4338,0.3574,1.0764,0.4254,0.0,0.0,0.1136
D1_C1_RFULL,10,P1,1,1,8,adaptive_revelation,pre,RFULL,0,8.0,7.292,1.4036,0.3404,1.0632,0.4228,8.0,7.2788,1.4168,0.347,1.0698,0.4202,8.0,7.2804,1.4314,0.3534,1.078,0.4286,0.0,0.0,0.1126
D0_C1_R0,10,P1,0,1,8,adaptive_revelation,pre,R0,0,8.0,7.5588,0.901,0.4434,0.901,0.5056,7.5588,7.0668,0.9868,0.4378,0.9868,0.4764,7.0668,6.5314,1.0768,0.468,1.0768,0.4326,0.0,0.0,0.1156
D0_C1_R2,10,P1,0,1,8,adaptive_revelation,pre,R2,0,8.0,7.472,1.0796,0.4556,1.0796,0.4408,7.9942,7.4592,1.0516,0.4562,1.0516,0.428,7.989,7.4442,1.0782,0.463,1.0782,0.4374,0.0,0.0,0.114
D0_C1_RFULL,10,P1,0,1,8,adaptive_revelation,pre,RFULL,0,8.0,7.4826,1.064,0.449,1.064,0.4264,8.0,7.4544,1.0946,0.4728,1.0946,0.4422,8.0,7.4412,1.0792,0.4748,1.0792,0.4434,0.0,0.0,0.1212
D2_C1_R0,10,P1,2,1,8,adaptive_revelation,pre,R0,0,8.0,7.4526,1.0796,0.0994,0.8808,0.4828,7.4526,6.792,1.3176,0.1668,0.984,0.4636,6.792,6.0262,1.5498,0.2302,1.0894,0.4378,0.0328,0.0,0.1142
D2_C1_R2,10,P1,2,1,8,adaptive_revelation,pre,R2,0,8.0,7.235,1.524,0.229,1.066,0.4396,7.948,7.1684,1.5354,0.2358,1.0638,0.437,7.9308,7.1608,1.558,0.2482,1.0616,0.4344,0.001,0.0,0.125
D2_C1_RFULL,10,P1,2,1,8,adaptive_revelation,pre,RFULL,0,8.0,7.227,1.5638,0.2406,1.0826,0.4138,8.0,7.2168,1.5778,0.25,1.0778,0.441,8.0,7.1982,1.5854,0.2484,1.0886,0.4346,0.0,0.0,0.1174
D1_C0_R0,10,P1,1,0,8,adaptive_revelation,pre,R0,0,8.0,7.857,0.2892,0.2892,1.1828,0.3696,7.857,7.7028,0.3142,0.3142,1.215,0.3848,7.7028,7.5188,0.3644,0.3644,1.1832,0.3952,0.0246,0.0,0.1214
D1_C0_R2,10,P1,1,0,8,adaptive_revelation,pre,R2,0,8.0,7.8134,0.3706,0.3706,1.1986,0.3752,7.9994,7.8186,0.3726,0.3726,1.1738,0.39,7.9998,7.8118,0.367,0.367,1.2176,0.3756,0.0,0.0,0.1134
D1_C0_RFULL,10,P1,1,0,8,adaptive_revelation,pre,RFULL,0,8.0,7.8122,0.3744,0.3744,1.194,0.3836,8.0,7.8236,0.3606,0.3606,1.1872,0.3892,8.0,7.8272,0.3536,0.3536,1.2202,0.3812,0.0,0.0,0.1102
